	S1
0	40
1	38.5369
2	38.2529
3	37.9778
4	37.7114
5	37.4535
6	37.204
7	36.9627
8	36.7296
9	36.5044
10	36.287
11	36.0773
12	35.8751
13	35.6804
14	35.493
15	35.3129
16	35.1398
17	34.9736
18	34.8143
19	34.6618
20	34.5159
21	34.3766
22	34.2437
23	34.1171
24	33.9968
25	33.8826
26	33.7745
27	33.6724
28	33.5762
29	33.4857
30	33.401
31	33.322
