% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=574856, Sat Mar 25 18:50:50 2017
1 6 0.766319284514 1.00002500031 229.0 2.2900000000000000e+02 328.0 911.0   
2 12 0.887427111202 1.23960846571 229.0 2.6200000000000000e+02 599.0 964.0   
3 18 0.763402367859 1.37582368756 179.0 1.7900000000000000e+02 729.0 911.0   
4 24 0.776903171116 1.42817691362 114.0 1.1400000000000000e+02 289.0 588.0   
5 30 0.947858670304 1.82862035547 97.0 9.7000000000000000e+01 326.0 650.0   
6 36 1.05214669098 2.67867077512 97.0 1.7000000000000000e+02 396.0 820.0   
7 42 0.80614306221 3.33695864864 97.0 1.3600000000000000e+02 253.0 551.0   
8 48 0.734964682565 3.77329786448 75.0 7.5000000000000000e+01 223.0 723.0   
9 54 0.799104629207 4.29286417137 75.0 1.7900000000000000e+02 279.0 385.0   
10 60 0.779428806013 3.89137509893 75.0 2.5500000000000000e+02 380.0 449.0   
11 66 0.683836833339 3.46767736944 75.0 2.0700000000000000e+02 484.0 682.0   
12 72 0.767005391847 3.61247939094 75.0 8.2000000000000000e+01 269.0 617.0   
13 78 0.798902440951 2.59886820751 75.0 9.8000000000000000e+01 172.0 250.0   
14 84 0.795500647108 2.29939379566 75.0 7.9000000000000000e+01 158.0 225.0   
15 90 0.657812646772 2.03116970197 75.0 1.2200000000000000e+02 165.0 323.0   
16 96 0.498008844687 1.81858559809 75.0 8.3000000000000000e+01 310.0 349.0   
17 102 0.369932079111 1.73509977448 66.0 6.6000000000000000e+01 115.0 154.0   
18 108 0.308996036826 1.72789946289 64.0 6.4000000000000000e+01 87.0 95.0   
19 114 0.240214484674 1.73362587254 64.0 6.6000000000000000e+01 87.0 105.0   
20 120 0.197016769526 1.71525339738 64.0 6.6000000000000000e+01 78.0 88.0   
21 126 0.170421145829 1.5432198393 64.0 6.4000000000000000e+01 67.0 88.0   
22 132 0.124761472023 1.65147648957 64.0 6.4000000000000000e+01 64.0 66.0   
23 138 0.0951311278886 1.60339914645 64.0 6.4000000000000000e+01 65.0 65.0   
24 144 0.0774899292915 1.59591505281 64.0 6.4000000000000000e+01 64.0 64.0   
25 150 0.0628252322846 1.62653409514 64.0 6.4000000000000000e+01 64.0 64.0   
26 156 0.0630152717468 1.71367494719 64.0 6.4000000000000000e+01 64.0 64.0   
27 162 0.0547113863272 1.39635577782 64.0 6.4000000000000000e+01 64.0 64.0   
28 168 0.0430270424509 1.60007330335 64.0 6.4000000000000000e+01 64.0 65.0   
29 174 0.035593294619 1.52576474558 64.0 6.4000000000000000e+01 64.0 64.0   
30 180 0.0341511327449 1.41878431142 64.0 6.4000000000000000e+01 64.0 64.0   
31 186 0.0393838045888 1.57215472754 64.0 6.4000000000000000e+01 64.0 64.0   
32 192 0.0328385577938 1.81484181041 64.0 6.4000000000000000e+01 64.0 64.0   
33 198 0.0380440921769 1.79239880633 64.0 6.4000000000000000e+01 64.0 64.0   
34 204 0.035021525416 1.8869436518 64.0 6.4000000000000000e+01 64.0 64.0   
35 210 0.0301088414295 1.91267665672 64.0 6.4000000000000000e+01 64.0 64.0   
36 216 0.0312493963482 2.02001694005 64.0 6.4000000000000000e+01 64.0 64.0   
37 222 0.0392995679791 1.71041523201 64.0 6.4000000000000000e+01 64.0 64.0   
38 228 0.0348544854217 1.481561696 64.0 6.4000000000000000e+01 64.0 64.0   
39 234 0.0403984870888 1.46828874013 64.0 6.4000000000000000e+01 64.0 64.0   
40 240 0.0392823713547 1.64088713252 64.0 6.4000000000000000e+01 64.0 64.0   
